gene_symbol;fpkm_ctl_B_1D6_d7;fpkm_ctl_B_4C2_d7;fpkm_ctl_B_WTC11_d7;fpkm_het_B_2A3_d7;fpkm_het_B_3D4_8_d7;fpkm_het_B_4A4_d7;fpkm_hom_B_2B1_9_d7;fpkm_hom_B_2B4_1_d7;fpkm_hom_B_3D6_d7;average_fpkm_ctl_BMP_d7;average_fpkm_het_BMP_d7;average_fpkm_hom_BMP_d7;log2fc_het_BMP_D7_vs_ctl_BMP_D7;padj_het_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_ctl_BMP_D7;padj_hom_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_het_BMP_D7;padj_hom_BMP_D7_vs_het_BMP_D7
SPOCK1;0.87;0.97;3.58;2.39;1.04;2.28;0.35;0.43;0.51;1.806666667;1.903333333;0.43;0.004648083;0.999907217;-2.111284108;0.003387226;-2.118025123;2.00E-06
SOX8;5.79;7.28;8.94;8.38;5.93;7.9;4.43;4.26;4.59;7.336666667;7.403333333;4.426666667;-0.075015851;0.99985652;-0.79316983;0.007636519;-0.721208108;0.001762879
MMP17;1.84;3.79;4.13;2.5;1.43;3.19;1.24;1.06;1.26;3.253333333;2.373333333;1.186666667;-0.445816973;0.99985652;-1.450916246;0.006223048;-1.007411695;0.18530762
GPI;169.11;139.56;170.67;83.19;137.35;71.71;107.68;90.78;125.2;159.78;97.41666667;107.8866667;-0.808336831;0.23997136;-0.689282103;0.000218644;0.115896617;0.999982966
DYSF;3.12;4.57;3.45;2.11;1.94;1.6;2.17;1.99;2.01;3.713333333;1.883333333;2.056666667;-1.03343175;0.015385037;-0.905320155;0.00097771;0.125197235;0.999982966
CDC42EP1;8.27;9.9;9.21;5.01;6.35;4.16;4.26;2.8;4.81;9.126666667;5.173333333;3.956666667;-0.908055137;0.165480803;-1.281646159;1.86E-05;-0.376775827;0.999982966
BHLHE40;4.33;3.15;4.57;0.32;3.7;0.15;1.33;0.3;1.87;4.016666667;1.39;1.166666667;-1.569206957;;-1.848035194;0.009833968;-0.281760084;0.999982966
NPY2R;0.59;0.39;0.64;2.08;0.95;2.2;2.29;2.03;2.02;0.54;1.743333333;2.113333333;1.690708024;0.059978597;1.968121811;5.18E-09;0.273477706;0.999982966
HOXD4;39.82;32.51;45.16;60.16;42.34;65.4;71.48;94.46;67.04;39.16333333;55.96666667;77.66;0.399843195;0.99985652;0.891360764;0.000495475;0.487852885;0.299675557
ETS1;1.05;1.51;4.8;1.92;0.67;1.43;0.05;0.11;0.07;2.453333333;1.34;0.076666667;-0.888766054;0.99985652;-5.084343121;1.75E-14;-4.197902647;5.67E-12
LMO3;3.36;3.83;3.53;4.69;4.54;5.16;6.99;7.69;6.59;3.573333333;4.796666667;7.09;0.354318652;0.99985652;0.911568536;9.27E-06;0.553951074;0.005250847
COL9A3;1.34;1.16;2.79;1.97;0.8;1.79;0.43;0.5;0.41;1.763333333;1.52;0.446666667;-0.282624084;0.99985652;-2.054794733;0.000693609;-1.775062031;0.006763847
SLC2A3;57.36;38.5;49.6;23.61;46.46;17.78;27.91;25.46;31.08;48.48666667;29.28333333;28.15;-0.795300057;0.99985652;-0.847688107;0.000376261;-0.056455697;0.999982966
DBX1;4.89;1.48;2.52;0.67;10.03;0.28;29.16;29.71;35.59;2.963333333;3.66;31.48666667;0.248165734;0.99985652;3.318515744;1.45E-19;3.06312087;0.568455382
COL11A2;2.11;3.12;10.24;2.56;0.98;1.91;0.65;0.54;0.32;5.156666667;1.816666667;0.503333333;-1.509332435;0.99985652;-3.638915245;0.00010943;-2.131823693;0.000165274
GPC4;5.91;5.62;7.86;6.66;4.98;5.84;3.11;2;3.13;6.463333333;5.826666667;2.746666667;-0.231353713;0.99985652;-1.291703292;3.79E-06;-1.062932952;7.65E-05
DRD2;3.95;5.96;5.73;3.03;1.95;2.29;1.05;1.76;2.11;5.213333333;2.423333333;1.64;-1.201857001;0.015385037;-1.742067725;1.40E-06;-0.542604604;0.95976757
MSANTD3-TMEFF1;13.38;20.57;13.4;11.29;6.11;5.25;4.19;4.81;4.88;15.78333333;7.55;4.626666667;-1.167122369;0.204185274;-1.847456972;8.11E-13;-0.683857441;0.45658298
RND3;7.24;3.6;6.88;5.76;4.48;5.08;2.06;3.19;2.14;5.906666667;5.106666667;2.463333333;-0.284801942;0.99985652;-1.320265595;0.002597762;-1.04015942;0.001211425
PDE1B;4.45;7.93;7.65;5.16;2.75;4.04;1.97;1.86;1.96;6.676666667;3.983333333;1.93;-0.84365319;0.816739563;-1.85266154;1.01E-09;-1.011819709;0.007766801
HAS2;1.57;1.61;6.13;5.72;3.09;6.14;0.61;0.39;0.88;3.103333333;4.983333333;0.626666667;0.611685454;0.99985652;-2.349646646;0.000611668;-2.962336294;3.11E-15
BAMBI;4.59;4.93;5.45;5.65;7.46;4.57;9.84;11.17;9.23;4.99;5.893333333;10.08;0.149148179;0.99985652;0.933395858;0.000270075;0.781583284;0.060313062
CLDN11;13.81;11.68;18.61;9.85;15.35;8.88;5.02;8.95;6.91;14.7;11.36;6.96;-0.448262335;0.99985652;-1.136080927;0.000689339;-0.691541473;0.426797064
IFITM1;137.4;152.28;175.6;129.36;153.2;130.51;72.98;47.66;86.34;155.0933333;137.69;68.99333333;-0.319899621;0.99985652;-1.319091804;2.78E-06;-1.001747026;0.001457219
INSC;0.42;1.25;2.09;1.53;0.3;1.23;0.04;0.04;0;1.253333333;1.02;0.026666667;-0.400738231;0.99985652;-5.685635579;9.19E-06;-5.286197856;0.00013789
RAB38;49.18;53.71;58.77;60.24;43.12;64.76;39.05;33.75;36.4;53.88666667;56.04;36.4;0.002367673;0.99985652;-0.598806008;0.003302631;-0.604104011;0.011406562
RASSF2;6.38;5.65;5.93;7.54;7.21;8.29;8.93;10.1;9.01;5.986666667;7.68;9.346666667;0.283135156;0.99985652;0.598609048;0.002927135;0.311845348;0.17583977
PLEKHB1;15.41;16.23;14.83;12.23;13.15;10.29;8.93;5.56;7.68;15.49;11.89;7.39;-0.476873089;0.93258579;-1.143266656;1.30E-05;-0.669588308;0.11944474
HNRNPA1L3;37.79;39.28;44.49;21.94;30.26;24.57;21.77;19.83;30.96;40.52;25.59;24.18666667;-0.761646845;0.165480803;-0.832949106;0.004004273;-0.074240062;0.999982966
LETMD1;35.08;31.94;37.9;20.09;43.94;13.53;27.54;23;21.04;34.97333333;25.85333333;23.86;-0.495152934;0.99985652;-0.618910051;0.008020645;-0.127623283;0.999982966
