gene_symbol;fpkm_ctl_N_1D6_d7;fpkm_ctl_N_4C2_d7;fpkm_ctl_N_WTC11_d7;fpkm_het_N_2A3_d7;fpkm_het_N_3D4_8_d7;fpkm_het_N_4A4_d7;fpkm_hom_N_2B1_9_d7;fpkm_hom_N_2B4_1_d7;fpkm_hom_N_3D6_d7;average_fpkm_ctl_NO_d7;average_fpkm_het_NO_d7;average_fpkm_hom_NO_d7;log2fc_het_NO_D7_vs_ctl_NO_D7;padj_het_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_ctl_NO_D7;padj_hom_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_het_NO_D7;padj_hom_NO_D7_vs_het_NO_D7
SNCAIP;5.19;5.07;3.33;3.32;3.92;3.78;7;6.89;5.88;4.53;3.673333333;6.59;-0.392110562;0.306828529;0.487069856;0.496477536;0.875487561;0.000267264
ZIC3;5.5;4.94;7.74;8.54;6.01;6.91;3.98;2.82;4.74;6.06;7.153333333;3.846666667;0.186737522;0.672516016;-0.695561502;0.391631849;-0.885116596;0.009023045
FLRT3;1.83;3.92;2.98;5.25;3.1;4.3;1.39;1.41;2.1;2.91;4.216666667;1.633333333;0.505325271;0.296549884;-0.854196082;0.350315398;-1.362074158;2.39E-05
PLEKHA6;2.63;2.28;1.73;1.23;1.43;1.53;1.83;2.98;2.82;2.213333333;1.396666667;2.543333333;-0.731023076;0.051782377;0.183726086;0.817958455;0.910534119;0.008992726
DACH1;3.56;10.43;6.03;12.47;6.78;10.97;6.68;5.08;3.65;6.673333333;10.07333333;5.136666667;0.541562159;0.341588757;-0.428709339;0.672411267;-0.972692768;0.007279551
PCDH8;16.12;45.73;34.63;75.56;32.79;56.91;8.94;4.33;14.67;32.16;55.08666667;9.313333333;0.741142284;0.370822665;-1.805937254;0.27660604;-2.547235832;0.00130597
PTN;55.81;128.41;93.12;201.82;92.97;162.38;56.8;43.53;58.66;92.44666667;152.39;52.99666667;0.673332728;0.342935165;-0.832687929;0.141976394;-1.507976123;4.66E-08
ARHGAP24;2.12;4.58;3.7;5.08;3.3;3.06;1.25;1.39;1.78;3.466666667;3.813333333;1.473333333;0.070365966;0.912812584;-1.186973487;0.027133183;-1.260679393;0.000272878
GFRA1;18.03;13;8.86;5.71;10.31;6.73;16.57;23.77;16.45;13.29666667;7.583333333;18.93;-0.873204499;0.050548366;0.385542074;0.608467582;1.253594185;1.24E-06
NRXN1;2.41;4.85;3.73;5.13;4.2;4.73;2.88;1.75;2.72;3.663333333;4.686666667;2.45;0.293812949;0.472638242;-0.669059238;0.496477536;-0.964637516;0.007279551
CD82;1.73;2.31;2.74;5.16;3.38;4.12;1.46;1.35;2.09;2.26;4.22;1.633333333;0.857333133;0.060439824;-0.503617636;0.638742228;-1.363784435;0.000726594
TPBG;14.29;29.52;24.31;33.91;28.62;33.37;13.42;16.16;14.82;22.70666667;31.96666667;14.8;0.456160151;0.214965415;-0.64850143;0.362505527;-1.108558893;1.03E-14
LMCD1;2.14;2.17;1.98;1.57;1.74;1.99;3.47;4.15;3.42;2.096666667;1.766666667;3.68;-0.173096001;0.6582665;0.843005492;0.029677016;1.011542824;0.000495286
GDF7;1.03;2.5;3.36;3.17;2.57;2.92;0.49;1.45;0.51;2.296666667;2.886666667;0.816666667;0.288426821;0.655826886;-1.515990348;0.520608591;-1.812032171;8.25E-05
GSX2;0.23;2.22;0.4;3.17;0.43;1.23;0;0;0;0.95;1.61;0;0.744159369;;-7.057439156;;-7.8037318;1.80E-05
GRIK3;0.96;0.62;0.52;0.51;0.76;0.66;1.13;1.19;1.43;0.7;0.643333333;1.25;-0.162284667;0.801692013;0.806274717;0.324485138;0.964751545;0.008322017
ID2;38.21;78.61;62.23;114.85;77.19;111.6;69.81;62.74;44.65;59.68333333;101.2133333;59.06666667;0.711698518;0.066967401;-0.050750358;0.958674728;-0.765962482;0.00928277
MSX1;15.67;24.61;25.54;51.66;29.33;42.68;17.7;11.07;17.51;21.94;41.22333333;15.42666667;0.857563939;0.022414701;-0.544689094;0.495187091;-1.404442646;4.34E-07
SPINK5;2.05;1.67;1.96;1.04;0.14;0.74;2.37;2.45;2.13;1.893333333;0.64;2.316666667;-1.746388367;;0.26759566;0.709955757;2.009328745;0.0032266
WDR86;24.98;15.99;15.7;6.86;20.62;11.03;24.08;33.96;29.79;18.89;12.83666667;29.27666667;-0.620792587;0.234786925;0.56184092;0.391631849;1.177263462;0.004053393
PCDH19;1.74;5.1;2.76;5.41;3.44;4.55;1.42;1.36;1.39;3.2;4.466666667;1.39;0.454013798;0.407087056;-1.209801984;0.035165562;-1.666495252;1.85E-16
